Degrees Latitude,Degrees Longitude,Density
41.92,-87.69,4.108463541
41.92,-87.7,4.031125576
41.93,-87.82,0.903089987
41.94,-87.78,3.447932866
41.96,-87.87,0
42,-87.78,0
42.07,-87.75,0.301029996
41.85,-87.64,3.773786445
41.9,-87.66,5.566992233
41.91,-87.83,0.301029996
41.92,-87.79,0
41.95,-87.65,5.382838002
41.97,-87.74,3.707144188
42,-87.8,0.301029996
42.05,-87.76,2.367355921
41.73,-87.64,0.477121255
41.76,-87.61,0.477121255
41.77,-87.57,0.301029996
41.79,-87.66,2.706717782
41.8,-87.6,2.350248018
41.83,-87.65,2.720985744
41.83,-87.7,4.151768103
41.85,-87.74,1.643452676
41.86,-87.62,4.899492196
41.88,-87.71,2.703291378
41.89,-87.67,4.750323221
41.9,-87.76,1.380211242
41.93,-87.66,5.388046112
41.94,-87.7,4.048247532
41.95,-87.75,2.540329475
41.97,-87.84,3.542700969
41.98,-87.72,4.444169755
41.99,-87.68,3.206825876
42.05,-87.86,0
41.74,-87.62,1.079181246
41.75,-87.58,0.301029996
41.79,-87.76,2.77815125
41.81,-87.66,2.965201701
41.83,-87.75,1.531478917
41.85,-87.8,1.770852012
41.86,-87.72,3.577261954
41.87,-87.68,3.225825991
41.88,-87.81,0.301029996
41.89,-87.77,1.322219295
41.91,-87.67,4.986677702
41.93,-87.76,2.260071388
41.95,-87.85,0.84509804
41.96,-87.8,3.05422991
42.01,-87.78,1.278753601
42.08,-87.82,1.447158031
41.8,-87.64,2.694605199
41.81,-87.76,2.269512944
41.84,-87.62,3.597914471
41.86,-87.82,0.602059991
41.91,-87.77,0.477121255
41.96,-87.72,3.570776369
41.97,-87.68,3.970579306
41.98,-87.9,3.369401414
42.04,-87.74,2.641474111
41.78,-87.64,2.893761762
41.8,-87.74,1.653212514
41.82,-87.63,2.603144373
41.84,-87.72,2.387389826
41.85,-87.68,3.966845424
41.88,-87.65,5.312460867
41.92,-87.64,5.760299567
41.94,-87.73,4.0011277
41.95,-87.69,4.099369826
41.96,-87.82,3.268811904
41.97,-87.78,2.06069784
41.98,-87.66,4.605595915
42,-87.73,3.932575223
42.02,-87.75,1.716003344
42.08,-88.01,3.31344537
41.76,-87.65,0
41.82,-87.73,2.340444115
41.83,-87.69,2.820201459
41.86,-87.66,4.206448064
41.88,-87.75,0.954242509
41.92,-87.74,4.76514679
41.94,-87.83,0
41.95,-87.79,2.894869657
41.97,-87.88,0
41.98,-87.76,3.919391927
42.08,-87.76,4.256741793
41.74,-87.66,0.477121255
41.77,-87.7,2.113943352
41.79,-87.61,1.939519253
41.88,-87.7,3.028977705
41.89,-87.62,5.754510401
41.9,-87.71,3.609167374
41.95,-87.89,1.079181246
41.96,-87.66,4.858693564
41.98,-87.86,2.33243846
41.99,-87.7,2.155336037
41.77,-87.62,1.612783857
41.79,-87.71,0.602059991
41.8,-87.68,1.681241237
41.81,-87.61,2.664641976
41.84,-87.66,3.630326155
41.87,-87.63,5.226769981
41.89,-87.72,2.068185862
41.93,-87.71,3.301464073
41.93,-87.8,1.301029996
41.94,-87.67,4.72612383
41.96,-87.76,2.716003344
41.99,-87.73,5.149256072
42,-87.67,3.110252917
42.01,-87.73,3.909716453
42.03,-87.82,0
42.04,-87.78,2.697229343
41.72,-87.66,0.903089987
41.75,-87.63,1.707570176
41.76,-87.59,0
41.78,-87.68,0
41.79,-87.7,0.602059991
41.81,-87.6,2.477121255
41.81,-87.71,1.301029996
41.82,-87.67,1.591064607
41.87,-87.73,2.758911892
41.88,-87.69,3.467903947
41.89,-87.82,0.477121255
41.91,-87.72,4.941312625
41.92,-87.68,4.434073654
41.93,-87.81,0.954242509
41.94,-87.77,3.429267666
42,-87.77,1
41.82,-87.77,2.155336037
41.85,-87.63,3.878923734
41.9,-87.65,5.464222689
41.95,-87.64,1.982271233
41.97,-87.73,3.240049772
42,-87.7,0.954242509
42.05,-87.75,1.806179974
41.73,-87.63,1.62324929
41.79,-87.65,2.534026106
41.83,-87.64,3.493876111
